ilce;hesap_sinifi;aykiri_kayit_sayisi;toplam_aykiri_kwh;ortalama_aykiri_kwh;medyan_aykiri_kwh;maksimum_aykiri_kwh
GÜMÜŞHACIKÖY;Mesken;14991;3636539,81;242,58153625508638;205,04;3208,08
GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;7229;7552977,64;1044,8163840088532;500,87;60449,14
GÖYNÜCEK;Mesken;6959;1898662,54;272,8355424629976;190,38;14940,93
HAMAMÖZÜ;Mesken;2896;588308,15;203,1450794198895;175,28500000000003;2596,59
GÖYNÜCEK;Ticari Faaliyet - Yazıhane;2421;2166014,17;894,6774762494837;597,52;6304,56
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);1614;6742755,89;4177,667837670384;282,72;69307,54
HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;907;1206570,25;1330,2869349503858;603,67;21528,36
GÜMÜŞHACIKÖY;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;713;4062770,04;5698,134698457223;1565,04;76153,92
GÜMÜŞHACIKÖY;Şantiye ve Geçici Aboneler;436;366588,8;840,8;309,41;17236,04
GÖYNÜCEK;Tarımsal Faaliyetler (Şahıs);378;2161311,02;5717,754021164022;1904,81;45289,93
GÜMÜŞHACIKÖY;İbadethane Isıtma/Soğutma/Lojman;333;123000,15;369,3698198198198;290,1;1964,59
GÖYNÜCEK;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;327;676846,63;2069,8673700305812;1191,71;8515,08
GÜMÜŞHACIKÖY;Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);271;30866,45;113,89833948339484;104,42;466,8
GÖYNÜCEK;İbadethane Isıtma/Soğutma/Lojman;243;112588,05;463,3253086419753;386,5;1633,36
HAMAMÖZÜ;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;240;630525,89;2627,191208333333;1447,975;25941,6
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Kooperatif);166;3021381,04;18201,09060240964;14692,075;66992,87
GÖYNÜCEK;Tarımsal Faaliyetler (Kooperatif);148;2644145,21;17865,846013513514;11507,02;105687,69
GÖYNÜCEK;Köy İçme Suyu Temini ve Dağıtımı Tesisi;146;480538,38;3291,3587671232876;3034,245;7208,6
GÜMÜŞHACIKÖY;İbadethane Aydınlatma;129;36533,02;283,20170542635657;127,94;2449,53
GÜMÜŞHACIKÖY;Köy İçme Suyu Temini ve Dağıtımı Tesisi;113;435271,01;3851,955840707965;3242,82;12250,74
GÖYNÜCEK;Şantiye ve Geçici Aboneler;111;148870,31;1341,1739639639638;680,1;8694,99
GÖYNÜCEK;Belediye;109;116367,17;1067,5887155963303;584,12;3552,94
GÖYNÜCEK;Büyükbaş-Küçükbaş Hayvancılık;105;155071,31;1476,869619047619;1514,01;4100,15
GÜMÜŞHACIKÖY;Belediye;102;879863,27;8626,110490196079;1563,875;50741,28
GÜMÜŞHACIKÖY;Resmi Daire;81;398057,7;4914,292592592593;3841,22;19848,0
HAMAMÖZÜ;İbadethane Isıtma/Soğutma/Lojman;69;22510,54;326,2397101449275;281,55;767,03
GÜMÜŞHACIKÖY;İçme-Kullanma Suyu (Belediye);69;1278860,17;18534,20536231884;15778,44;37104,28
HAMAMÖZÜ;Tarımsal Faaliyetler (Şahıs);65;15498,77;238,44261538461538;183,93;659,9
GÖYNÜCEK;İbadethane Aydınlatma;60;6795,72;113,262;100,16499999999999;267,54
GÖYNÜCEK;Süt Toplama Merkezi;52;75511,52;1452,1446153846155;1195,2150000000001;4542,0
GÖYNÜCEK;Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);50;7106,57;142,13139999999999;127,43;289,3
GÜMÜŞHACIKÖY;Cemevleri;49;2347,51;47,90836734693878;45,29;123,29
GÜMÜŞHACIKÖY;Süt Toplama Merkezi;47;207229,25;4409,132978723404;4302,29;11072,11
HAMAMÖZÜ;Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);44;8454,61;192,15022727272728;183,89;275,25
GÜMÜŞHACIKÖY;Büyükbaş-Küçükbaş Hayvancılık;44;7200,42;163,6459090909091;137,81;499,19
GÖYNÜCEK;Resmi Daire;37;168190,46;4545,688108108108;5361,0;10302,55
GÜMÜŞHACIKÖY;Resmi Üniversite,Yük.Okul,Kurs,Yurt,Okul;36;172301,8;4786,161111111111;4913,375;6306,48
GÜMÜŞHACIKÖY;Lisansız Üreticiler;36;2805725,79;77936,8275;85169,07;153575,73
HAMAMÖZÜ;Şantiye ve Geçici Aboneler;33;182709,97;5536,665757575757;4275,94;19240,88
GÖYNÜCEK;Şehit Aileleri ve Gaziler;33;10172,15;308,2469696969697;295,67;443,89
HAMAMÖZÜ;İbadethane Aydınlatma;32;3951,96;123,49875;116,095;232,18
GÜMÜŞHACIKÖY;Belediye Park Bahçe Aydınlatma;29;3687,64;127,16;105,86;409,41
GÜMÜŞHACIKÖY;Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;27;386665,0;14320,925925925925;16266,29;25005,65
GÜMÜŞHACIKÖY;Şehit Aileleri ve Gaziler;26;6408,36;246,4753846153846;239,88;284,58
GÜMÜŞHACIKÖY;Resmi Daire Lojman;24;11910,41;496,26708333333335;487,46000000000004;802,72
GÜMÜŞHACIKÖY;Muhtarlık Hizmet Binaları;23;3614,7;157,16086956521738;159,31;297,47
GÖYNÜCEK;Cemevleri;22;1450,66;65,93909090909091;49,785;236,49
GÜMÜŞHACIKÖY;İktisadi İşletmeleri Hariç Dernek ve Vkf;20;9560,74;478,037;496,825;778,16
GÖYNÜCEK;Resmi Üniversite,Yük.Okul,Kurs,Yurt,Okul;18;60109,12;3339,395555555556;3124,2799999999997;5948,0
GÖYNÜCEK;Muhtarlık Hizmet Binaları;17;3373,41;198,43588235294118;187,03;459,46
GÜMÜŞHACIKÖY;Sanayi;15;510931,86;34062,123999999996;16989,48;109546,29
HAMAMÖZÜ;Resmi Daire;11;15729,87;1429,9881818181818;1431,58;2149,26
GÜMÜŞHACIKÖY;Kar Amacı Güden Dernek,Vakıf,Müze;11;2315,74;210,52181818181816;168,49;435,95
HAMAMÖZÜ;Resmi Daire Lojman;10;5744,74;574,4739999999999;528,24;851,57
HAMAMÖZÜ;Cemevleri;9;70,72;7,857777777777778;6,35;11,81
GÜMÜŞHACIKÖY;Ölçümsüz Aboneler (Resmi Daire);8;9899,41;1237,42625;1862,495;1990,94
HAMAMÖZÜ;Köy İçme Suyu Temini ve Dağıtımı Tesisi;8;17060,96;2132,62;2033,2649999999999;2686,95
GÜMÜŞHACIKÖY;Diyanet Kuran Kursu;7;6272,9;896,1285714285714;283,45;2628,41
HAMAMÖZÜ;Resmi Hayır Kurumları,Dernek,Vakıf,Müze;7;335,08;47,86857142857143;42,15;88,98
HAMAMÖZÜ;Süt Toplama Merkezi;6;3143,53;523,9216666666667;565,165;594,05
GÖYNÜCEK;Lisansız Üreticiler;6;43242,27;7207,044999999999;5592,52;18068,06
HAMAMÖZÜ;Belediye;6;16032,24;2672,04;2607,885;4291,56
HAMAMÖZÜ;Tarımsal Faaliyetler (Kooperatif);5;9909,16;1981,8319999999999;205,2;8861,28
GÖYNÜCEK;İktisadi İşletmeleri Hariç Dernek ve Vkf;4;3782,68;945,67;894,8199999999999;1157,51
HAMAMÖZÜ;Kar Amacı Güden Dernek,Vakıf,Müze;4;8,219999999999999;2,0549999999999997;1,5899999999999999;3,91
GÖYNÜCEK;Kar Amacı Güden Dernek,Vakıf,Müze;4;1633,3600000000001;408,34000000000003;386,825;633,72
HAMAMÖZÜ;Muhtarlık Hizmet Binaları;3;28,25;9,416666666666666;9,04;10,21
GÜMÜŞHACIKÖY;İç Tüketim;3;1299,21;433,07;439,64;453,91
HAMAMÖZÜ;Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;3;2857,7799999999997;952,5933333333332;889,85;1189,61
HAMAMÖZÜ;İçme-Kullanma Suyu (Belediye);2;23733,739999999998;11866,869999999999;11866,869999999999;12484,84
HAMAMÖZÜ;İktisadi İşletmeleri Hariç Dernek ve Vkf;2;1144,6399999999999;572,3199999999999;572,3199999999999;577,25
GÖYNÜCEK;İç Tüketim;2;1585,6799999999998;792,8399999999999;792,8399999999999;847,76
GÖYNÜCEK;Resmi Daire Lojman;2;559,48;279,74;279,74;299,9
GÜMÜŞHACIKÖY;Şantiye ve Geçici Aboneler (Belediye);2;17,83;8,915;8,915;9,0
GÖYNÜCEK;Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;2;1736,97;868,485;868,485;974,76
HAMAMÖZÜ;Resmi Üniversite,Yük.Okul,Kurs,Yurt,Okul;1;1481,22;1481,22;1481,22;1481,22
GÖYNÜCEK;Ölçümsüz Aboneler (Resmi Daire);1;725,76;725,76;725,76;725,76
HAMAMÖZÜ;Ölçümsüz Aboneler (Resmi Daire);1;427,39;427,39;427,39;427,39
GÖYNÜCEK;İçme-Kullanma Suyu (Belediye);1;39479,28;39479,28;39479,28;39479,28
GÜMÜŞHACIKÖY;Balıkçılık ve Su Ürünleri Yetiştiriciliğ;1;330,98;330,98;330,98;330,98
HAMAMÖZÜ;Balıkçılık ve Su Ürünleri Yetiştiriciliğ;1;143,81;143,81;143,81;143,81
GÜMÜŞHACIKÖY;Resmi Hayır Kurumları,Dernek,Vakıf,Müze;1;310,51;310,51;310,51;310,51
